questionId,type,stem,choice1,choice2,choice3,choice4,correctAnswer,explanation,subject,round
q1_s1_1,mcq,데이터베이스의 3단계 스키마 구조에 해당하지 않는 것은?,외부 스키마,개념 스키마,내부 스키마,물리 스키마,4,데이터베이스의 3단계 스키마는 외부 스키마-개념 스키마-내부 스키마로 구성됩니다.,1,
q1_s1_2,mcq,정규화의 목적으로 옳지 않은 것은?,데이터 중복 최소화,데이터 무결성 유지,이상 현상 방지,조회 속도 극대화,4,정규화는 데이터 중복과 이상 현상을 방지하기 위한 것이며 조회 속도 극대화가 목적은 아닙니다.,1,
q1_s1_3,ox,빅데이터의 특징인 3V는 Volume(크기) Velocity(속도) Variety(다양성)이다.,,,,,O,빅데이터의 3V는 Volume Velocity Variety를 의미합니다.,1,
q1_s1_4,mcq,데이터 마이닝 기법이 아닌 것은?,분류(Classification),군집(Clustering),연관분석(Association),정규화(Normalization),4,정규화는 데이터베이스 설계 기법이며 데이터 마이닝 기법이 아닙니다.,1,
q1_s1_5,ox,OLTP는 온라인 분석 처리를 의미한다.,,,,,X,OLTP는 온라인 트랜잭션 처리(Online Transaction Processing)이며 온라인 분석 처리는 OLAP입니다.,1,
q2_s2_1,mcq,데이터 분석 방법론 중 KDD 분석 방법론의 단계가 아닌 것은?,데이터 선택,데이터 전처리,데이터 시각화,데이터 변환,3,KDD 방법론은 선택-전처리-변환-데이터마이닝-해석/평가 단계로 구성됩니다.,2,
q2_s2_2,ox,CRISP-DM은 6단계로 구성된 데이터 분석 방법론이다.,,,,,O,CRISP-DM은 업무이해-데이터이해-데이터준비-모델링-평가-전개의 6단계로 구성됩니다.,2,
q2_s2_3,mcq,분석 과제 발굴 방법이 아닌 것은?,하향식 접근법,상향식 접근법,디자인 사고 접근법,데이터베이스 정규화,4,데이터베이스 정규화는 분석 과제 발굴 방법이 아닙니다.,2,
q2_s2_4,ox,분석 마스터 플랜은 전사적 차원의 분석 체계 수립을 위한 청사진이다.,,,,,O,분석 마스터 플랜은 전사적 분석 업무 로드맵과 우선순위를 제시하는 청사진입니다.,2,
q2_s2_5,mcq,데이터 거버넌스의 구성요소가 아닌 것은?,원칙(Principle),조직(Organization),프로세스(Process),알고리즘(Algorithm),4,데이터 거버넌스는 원칙-조직-프로세스로 구성되며 알고리즘은 포함되지 않습니다.,2,
q3_s3_1,mcq,R에서 벡터를 생성하는 함수는?,vector(),c(),list(),array(),2,R에서 벡터는 c() 함수로 생성합니다.,3,
q3_s3_2,ox,Python pandas에서 DataFrame은 2차원 테이블 형태의 자료구조이다.,,,,,O,pandas DataFrame은 행과 열로 구성된 2차원 테이블 형태의 자료구조입니다.,3,
q3_s3_3,mcq,회귀분석에서 독립변수와 종속변수 간의 관계를 나타내는 계수는?,상관계수,결정계수,회귀계수,편향계수,3,회귀계수는 독립변수가 종속변수에 미치는 영향의 크기를 나타냅니다.,3,
q3_s3_4,ox,k-means 군집분석에서 k는 군집의 개수를 의미한다.,,,,,O,k-means에서 k는 사전에 정의하는 군집의 개수입니다.,3,
q3_s3_5,mcq,의사결정나무에서 불순도를 측정하는 지표가 아닌 것은?,지니 지수,엔트로피,카이제곱 통계량,피어슨 상관계수,4,피어슨 상관계수는 의사결정나무의 불순도 측정 지표가 아닙니다.,3,
